date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-12-02,39476.33203125,74.0,10854,0.2080856123662307,18.1239162159842,40,-0.883987150432
2023-12-03,39978.390625,73.0,12723,0.0625,18.807837582625115,40,-0.733373716801
2023-12-04,41980.09765625,74.0,17491,-0.1725543478260869,16.945847362514023,40,3.654959156394
2023-12-05,44080.6484375,75.0,16988,-0.1069182389937107,16.044472502805835,40,1.243100127703
2023-12-06,43746.4453125,72.0,17278,-0.2321907600596125,16.044472502805835,40,-0.601671779615
2023-12-07,43292.6640625,72.0,15453,-0.2113495816660603,13.160072951739618,40,0.422251257242
2023-12-08,44166.6015625,72.0,13692,-0.1729264475743349,12.79952300785634,40,0.389181823116
2023-12-09,43725.984375,73.0,11211,-0.0455159981973862,11.717873176206508,40,-0.959938436003
2023-12-10,43779.69921875,74.0,9901,0.0274261603375527,10.636223344556676,40,-1.300693610021
2023-12-11,41243.83203125,74.0,11408,-0.1387696709585121,16.558693733451015,40,-0.696676994759
2023-12-12,41450.22265625,67.0,9584,-0.3464813984760197,13.83671668137688,40,-0.745365355349
2023-12-13,42890.7421875,65.0,7395,-0.3648449039881831,12.929390997352163,40,0.22204745968
2023-12-14,43023.97265625,72.0,7231,-0.1869758263443512,13.83671668137688,40,0.16684914093
2023-12-15,41929.7578125,70.0,7125,-0.3527027027027027,12.702559576345983,40,-0.391415988035
2023-12-16,42240.1171875,67.0,6283,-0.3285714285714285,12.248896734333629,40,-1.41490788263
2023-12-17,41364.6640625,73.0,7493,-0.2058823529411764,11.341571050308916,40,-1.587476210458
2023-12-18,42623.5390625,65.0,7698,-0.4076335877862595,14.284203420342036,40,-0.640569658516
2023-12-19,42270.52734375,73.0,10934,-0.0040816326530612,14.785403540354034,40,0.01768044664
2023-12-20,43652.25,74.0,11146,-0.1946257197696737,15.036003600360036,40,-0.017138948392
2023-12-21,43869.15234375,70.0,10539,-0.4318952981095492,15.28660366036604,40,-0.633849984423
2023-12-22,43997.90234375,74.0,7377,-0.2934362934362934,14.785403540354034,40,-0.367849383196
